"","MEgreen","MEred","MEtan","MEmagenta","MEturquoise","MEblack","MEblue","MEyellow","MEpink","MEgreenyellow","MEbrown","MEpurple","MEgrey"
"W269",0.242907867799149,-0.109160517295017,0.00798063077918794,-0.175155390078982,0.0929813820128387,-0.166576781017695,-0.141728893297411,-0.0906499971931599,-0.330038143598202,0.0401009875098504,-0.126766275361795,0.055800387600068,-0.12065441844976
"W28A",-0.177611318943376,-0.244398000039825,-0.191429006540607,-0.246108090344538,-0.266158850480877,0.0307348950964387,0.293110572779841,0.218651942356,0.0123836650771319,0.143794372226313,0.0683584141591524,0.0503072492534698,0.0534509942289344
"W020",-0.299204927914309,-0.249539817156196,-0.193946263636986,-0.180615129365839,-0.379187725124718,0.192159252458358,0.378659204801954,0.0789622543422102,0.111468448934805,0.232372201958191,0.0727415913346913,0.322203961377466,-0.411135599307097
"W248",-0.0755513727194378,0.170878730197761,0.105571990405464,0.317032805523217,0.157547851601859,-0.000909248916022577,-0.101635273334624,-0.164575750479484,0.248287776906027,0.0735506253672937,0.152454468538286,0.0674725969913305,0.0422444326191258
"W257",0.170412765784152,0.285102205011458,0.0524043100179,0.115072858500788,0.0199494550054188,0.200581801646431,-0.132121580317393,0.000614887226795712,0.0444760711930425,-0.54487788334665,-0.180705723939784,-0.161586554549075,-0.0624708461966694
"W27A",-0.157240507036593,-0.137684342706907,-0.138507229985085,-0.098001225969693,-0.257437398652685,0.18348221551822,0.273408632505944,0.0765135232090731,0.124203204213213,0.0416187194386425,0.030642652451491,0.106186329037114,-0.213769396205151
"W27B",-0.0840099795892006,0.0392870206380931,-0.117829252179433,-0.0240697574998817,-0.129926584011888,0.117244264072922,0.154649136400745,0.259032240943054,0.193026102992956,-0.0607899792831393,0.0618205222178984,-0.251128658876152,0.37449534357412
"W29A",-0.259465959548636,-0.284898188965177,-0.172469611631487,-0.252544121084483,-0.314373625519099,0.064060796694449,0.325173692706779,0.168993528454763,0.0216721413537014,0.218210559480412,0.0671297727140586,0.146056168264132,-0.0800914316087259
"W302",0.00327852765977635,-0.0166544185312393,0.34751967532543,-0.0642135592888463,0.000290441034538215,-0.0147896754398725,-0.00517160256477824,0.117208502145644,-0.0695638431350901,0.0742922768496415,-0.0705114816443325,-0.0935068274019509,0.14082167583912
"W305",0.0459401473501349,-0.158803665976541,-0.0922211831254702,-0.0226134658688833,0.142232967315086,-0.252663912613426,-0.10845690375904,-0.176782724497549,-0.154491575323326,0.0479470083634102,0.0859108154128625,0.175845522291473,-0.0448557300520895
"W306",0.00799427498770163,-0.115083474479411,0.203269165232758,0.0492973102265353,0.151517315135353,-0.226351069789858,-0.107236127951783,-0.164939256436421,-0.074611604706445,0.00712738725559963,0.119172820672285,0.123030020604951,-0.0118124527072321
"W017",-0.223036792011808,-0.0862031672112204,0.269648342940795,0.0644452035259724,-0.111430801947672,0.0569274821330406,0.225269656306171,0.0381041208204491,0.211590899580242,0.244205617984236,0.15547163703333,0.0373735853355279,-0.0304066626435072
"W250",0.186707376639594,0.286849125362402,-0.0842097425400141,0.0377287709295713,0.0307354996215367,0.227570685469672,-0.142241460286516,0.0135223618216087,-0.0576641965000062,-0.139314825793342,-0.254050876879158,-0.102870707835242,-0.0764147062335044
"W256",0.112575928005648,0.211676863110562,-0.117505416836421,0.0736742679613036,-0.00606549931163471,0.189165248624147,-0.0768862496675926,0.0356871065059408,0.0328735036320743,-0.245584915217581,-0.17681506793044,-0.14102851532906,-0.0300679638607292
"W258",0.0537335615938919,0.131741989737902,-0.232198170280932,-0.12089964352863,-0.267058843838851,0.378552817828831,0.160274653224557,0.269149154683056,0.129167935162687,-0.31722425323889,-0.193743457913553,-0.333985712324009,0.120928420899982
"W266",0.028023640333574,0.135982441900387,0.39986892882176,0.223051208452704,0.165330762390049,-0.038997776894338,-0.121828537308074,-0.199797823378618,0.113636152336228,0.140569961513619,0.101043024779067,0.109775209260845,0.0225625310553496
"W300",0.0132142764868989,0.146218450807036,-0.0722738841426376,0.204339281158072,0.111148047369469,0.0398726407059562,-0.12058827600819,-0.128567112461948,0.120916067997101,-0.115085920880838,-0.0103878442979929,0.0347469451153969,-0.0533728184185913
"W301",0.0760714057225114,0.137184182504997,-0.041338522775699,0.146850426949708,0.0886246818556061,-0.00538643865597951,-0.133238679150807,-0.157991202712238,0.0252668460980197,-0.000717158029369471,-0.0514237739228282,0.047121802794605,-0.0865570672157259
"W303",0.202301091202854,0.0151528916597554,-0.115616814360214,-0.173387990171347,0.0217266490172546,-0.0471238189653091,-0.0987241318897173,0.00884359056492449,-0.282502940468604,-0.0926301349751958,-0.209678931482029,-0.047888270442937,-0.0654195725611876
