"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"18787","Sv2a"," 2.17730739"," 2.47659780"," 0.35435221","-0.08954927","6.49800418737105e-10","0.149278341576613","3.12507081914606e-11","1.52544228697726e-11","0.0518458181965455","1.87396447897878e-12"
"18788","Svep1","3.208300","2.582554","3.114513","2.905343","0.852299601927549","0.359306206832535","0.754821731386213","0.359306206832535","0.754821731386213","0.59413222521154"
"18789","Svil","5.212146","4.850532","5.077982","4.713689","0.634757468327244","0.370455589706859","0.35563879484971","0.552148882510838","0.370455589706859","0.634757468327244"
"18790","Swap70","5.592536","5.226908","5.250439","5.107823","0.147918598502411","0.147918598502411","0.112302939750849","0.982418949432701","0.596046628646023","0.596046628646023"
"18791","Swi5","6.733560","6.684445","6.767617","7.102880","0.853049141837956","0.525432565725586","0.00413928534368593","0.500430394964785","0.00413928534368593","0.000841819868060821"
"18792","Swsap1","2.367438","2.423364","2.786711","2.969063","0.00427847665780387","0.961012171750091","0.000190960682249289","0.00427847665780387","0.174565707023863","0.000190960682249289"
"18793","Swt1","4.481791","4.687224","4.808927","4.943855","0.0324050729779959","0.202550318946889","0.00747039706126213","0.27591225548207","0.363632960224904","0.0832577732503595"
"18794","Syap1","5.058854","4.722366","4.925396","4.999272","0.494629784503315","0.0512071056000095","0.674694183083054","0.156525934979405","0.674694183083054","0.0805654456439484"
"18795","Syce1l"," 0.2049307204","-0.0797013090"," 0.0008299961","-0.1319730623","0.185626063117239","0.088322405806104","0.0526612940765628","0.590242722608773","0.40703579438318","0.590242722608773"
"18796","Syce2","3.632597","4.840645","5.010284","5.367407","0.00269414956478339","0.00711067833202653","0.000367023388685257","0.562220750134493","0.351064624316219","0.161447159764959"
"18797","Sycp2"," 1.5340246"," 2.3074548","-0.4326488","-0.4599910","0.000102927507081421","0.18609519803715","0.000102927507081421","2.64225192875468e-06","0.922553368308486","2.64225192875468e-06"
"18798","Sycp3","3.139681","2.394539","2.782047","1.305215","0.560528272567569","0.356669307259278","0.0319654490150047","0.560528272567569","0.0650858291715849","0.141139862805141"
"18799","Syde1","5.285883","4.887703","4.965714","5.324758","0.39409433101127","0.39409433101127","0.898554074740448","0.898554074740448","0.39409433101127","0.39409433101127"
"18800","Syde2","4.328742","4.854684","4.921693","4.902072","0.183085478804347","0.183085478804347","0.183085478804347","0.85168648291881","0.85168648291881","0.85168648291881"
"18801","Syf2","5.496500","5.405808","5.410594","5.467759","0.857034151800343","0.857034151800343","0.933500995032536","0.933500995032536","0.857034151800343","0.857034151800343"
"18802","Syk","2.375154","2.189678","1.971772","1.652179","0.475042110143516","0.634696321953395","0.475042110143516","0.634696321953395","0.634696321953395","0.475042110143516"
"18803","Sympk","6.387332","6.368262","6.435178","6.352004","0.965658117276198","0.979470420483351","0.965658117276198","0.965658117276198","0.965658117276198","0.965658117276198"
"18804","Syn2","0.5997213","1.8891762","2.5707129","2.0033607","0.00519040835339141","0.0536809017701079","0.0536809017701079","0.257508935128869","0.257508935128869","0.995297236030824"
"18805","Syn3","0.5260906","1.0202809","1.9873903","2.0919001","0.000377069246290828","0.173836057048633","0.00030713277824214","0.0089404693254954","0.653656554014356","0.0045512102085992"
"18806","Syna","5.921313","6.646686","6.493476","6.519465","0.151815870143168","0.14762416979277","0.151815870143168","0.786908731108056","0.949409550315544","0.786908731108056"
"18807","Synb","1.725369","4.119455","4.983584","4.656493","0.000561626985100135","0.00516538515227236","0.00142821654056235","0.318561273626251","0.654700707134883","0.528757926173673"
"18808","Sync","0.6538984","1.2628361","1.2573990","1.0193645","0.054022152717693","0.054022152717693","0.329461232200427","0.970050323067555","0.380951657625752","0.380951657625752"
"18809","Syne1","6.021509","5.968700","5.828135","5.634873","0.14916794121591","0.645876533835825","0.0134615086867261","0.269431567167476","0.14916794121591","0.0200139899289893"
"18810","Syne2","7.035509","7.043831","6.597306","6.345989","0.0397377073211098","0.794504513761032","0.00228252370040061","0.026506334672608","0.175005997609029","0.00190644604289275"
"18811","Syne3","2.657668","1.950019","2.214315","1.859685","0.287435244742223","0.0593496685998622","0.0593496685998622","0.395988141439522","0.287435244742223","0.707851492305382"
"18812","Syne4","2.809792","4.405816","4.908018","4.815299","0.00458101054131699","0.0179855219132185","0.00484554408381839","0.479399068234545","0.86757992537654","0.508338049681543"
"18813","Syngap1","2.387005","2.565420","3.010582","2.904903","0.00207219024325819","0.291315476893369","0.0107561182728459","0.0141307130850485","0.446191976545781","0.0758993743912414"
"18814","Syngr1","4.550519","4.877161","5.436434","5.610092","4.25344799819173e-06","0.062355545718291","8.44308158174332e-07","0.000527735659379547","0.28394689923552","4.55483587404576e-05"
"18815","Syngr2","6.630138","5.973585","6.175234","6.061794","0.112765831628575","0.0453882584571073","0.0793926965884948","0.604977762619106","0.687477705090424","0.687477705090424"
"18816","Syngr3","0.4981435","0.7356602","0.7737390","0.7490845","0.578402496274816","0.578402496274816","0.578402496274816","0.91026723896517","0.91026723896517","0.91026723896517"
"18817","Synj1","6.074416","5.809096","5.800599","5.765578","0.0845380284350231","0.0986287695761863","0.0820458147717329","0.779115460861427","0.779115460861427","0.774580466586402"
"18818","Synj2","4.792783","5.043649","5.113973","5.220740","0.29819307662361","0.29819307662361","0.257789408659833","0.863193562432939","0.729084481341906","0.729084481341906"
"18819","Synpo","4.756937","5.405758","6.385049","6.272606","0.000669558849000171","0.0920390142922932","0.00119978231494526","0.0239533092260384","0.747515832917419","0.0465356839707498"
"18820","Synpo2","2.071833","2.006397","4.174664","4.438591","1.97554874944497e-08","0.88248434629908","8.08709782568072e-09","9.8406705953143e-09","0.460885504472253","6.17203978964582e-09"
"18821","Synrg","4.988928","4.771924","4.780975","4.817203","0.402430928695837","0.402430928695837","0.402430928695837","0.927848104220726","0.927848104220726","0.927848104220726"
"18822","Sypl1","6.329861","6.114986","5.946502","5.879963","0.00142436807053085","0.047400159051538","0.00059442112550831","0.142608690857408","0.49906336408258","0.047400159051538"
"18823","Sys1","5.948305","5.484642","5.952921","6.102187","0.606087084088397","0.000260806769484127","0.0592030614937382","7.8049899222672e-05","0.129703661561542","2.03489088230293e-06"
"18824","Syt11","1.600458","1.625868","1.497072","1.307344","0.761906418430046","0.761906418430046","0.761906418430046","0.761906418430046","0.761906418430046","0.761906418430046"
"18825","Syt13","0.09904319","0.38012796","0.70724830","0.45603487","0.720714305629804","0.720714305629804","0.720714305629804","0.720714305629804","0.720714305629804","0.720714305629804"
"18826","Syt14","2.142536","2.920945","2.984439","3.028545","0.0588305447172164","0.0598323916243136","0.0588305447172164","0.95379560912148","0.95379560912148","0.95379560912148"
"18827","Syt16","0.4989151","1.4902209","1.0586608","1.2300130","0.424446336416877","0.212125668784168","0.424446336416877","0.424446336416877","0.769809353963528","0.531237037413855"
"18828","Syt7","0.3931187","0.8684666","1.4579951","1.5051236","0.000513056739878152","0.0885593399274411","0.000513056739878152","0.0253980635099896","0.944099495348255","0.0253980635099896"
"18829","Sytl1","3.641167","4.039087","3.738410","3.895785","0.666863411717382","0.271736650226511","0.524892988740425","0.321338347088703","0.616085135514644","0.524892988740425"
"18830","Sytl2","2.390289","2.513385","2.467326","2.599071","0.799838539843833","0.799838539843833","0.799838539843833","0.799838539843833","0.799838539843833","0.799838539843833"
"18831","Sytl3","1.1385564","0.6095231","0.7358998","0.4991544","0.533412460374137","0.533412460374137","0.379826244649326","0.824800606366006","0.618200668376189","0.645603269099274"
"18832","Sytl4","1.136129","1.481728","1.601208","1.637487","0.0786095185730562","0.184359518425992","0.0786095185730562","0.649878561622378","0.802463734577338","0.597613177908541"
"18833","Syvn1","7.059703","6.705479","6.811028","6.903443","0.132941943555738","0.0317784285515965","0.301862783875003","0.467689847685745","0.467689847685745","0.243737196826539"
"18834","Szrd1","7.331259","7.127605","7.233622","7.234417","0.377935168945511","0.14517656715764","0.377935168945511","0.377935168945511","0.963714503005143","0.377935168945511"
"18835","Szt2","5.440608","5.543469","5.420602","5.420749","0.945386389189649","0.450832811115182","0.945386389189649","0.450832811115182","0.945386389189649","0.450832811115182"
"18836","Tab1","4.818637","4.701547","5.006446","4.956013","0.0604460896436171","0.362693208191202","0.173606111158385","0.0118056263858579","0.558145204291671","0.035339787972794"
"18837","Tab2","6.183303","5.929142","6.021582","5.933632","0.470834400769522","0.211885803729627","0.211885803729627","0.625342726489417","0.625342726489417","0.849433088202237"
"18838","Tab3","5.271928","5.530054","5.555192","5.495612","0.387186273881091","0.387186273881091","0.456187729139442","0.855794763463962","0.855794763463962","0.855794763463962"
"18839","Tac4","0.8430601","0.6127391","1.4173695","1.4111107","0.0610069620561423","0.582321136848762","0.0610069620561423","0.020710607068476","0.875200556935242","0.020710607068476"
"18840","Tacc1","7.431158","6.636111","6.853373","6.700852","0.213736807848959","0.160389419554754","0.182594992855475","0.787448991151777","0.787448991151777","0.787448991151777"
"18841","Tacc2","5.969440","6.241136","6.419236","6.313241","0.325904834338056","0.456918680030609","0.444184455492976","0.65492238813323","0.765233045834679","0.771725138560428"
"18842","Tacc3","5.447444","5.746073","5.976294","6.026710","0.0176726296970126","0.181783276013759","0.0164667464383369","0.207936979288586","0.705683081086348","0.181783276013759"
"18843","Tada1","3.401195","3.206873","3.388192","3.456584","0.7819952657835","0.13213418615992","0.701106283322655","0.152398788673298","0.616917499632499","0.079874640699619"
"18844","Tada2a","4.955361","4.721851","4.970269","5.046196","0.798437591531724","0.0939514878243017","0.5395115486718","0.0761202052692486","0.599829096105551","0.0336313431999132"
