"","ID","BW1N","BW2H","ME1N","ME2H","BW 1N - ME 1N","BW 1N - BW 2H","BW 1N - ME 2H","ME 1N - BW 2H","ME 1N - ME 2H","BW 2H - ME 2H"
"2201","Col5a3","4.805047","4.453174","5.142652","5.005447","0.446214591017387","0.446214591017387","0.633412150578046","0.188726111389044","0.642455569029444","0.272355773762046"
"2202","Col6a1","5.229266","4.870953","5.223090","5.181637","0.995889652419316","0.413430108872357","0.995889652419316","0.413430108872357","0.995889652419316","0.413430108872357"
"2203","Col6a2","5.610259","5.301060","5.417518","5.385727","0.747417150747457","0.747417150747457","0.747417150747457","0.793539168683452","0.977797972040697","0.793539168683452"
"2204","Col6a3","4.807760","4.476401","4.802887","4.837791","0.993715260965036","0.640825334169936","0.961131819596853","0.640825334169936","0.961131819596853","0.640825334169936"
"2205","Col6a5","0.9363470","0.3529035","1.0204912","0.7100154","0.921621148079597","0.25105474491224","0.616597024451339","0.25105474491224","0.616597024451339","0.504978091445107"
"2206","Col6a6","2.574634","1.875900","2.425842","2.288650","0.683820464414205","0.271412385325119","0.592084435972011","0.271412385325119","0.683820464414205","0.437806111974525"
"2207","Col7a1","5.833095","5.577120","5.331912","4.667927","0.122308200592673","0.40598155267446","0.00286084514427882","0.40598155267446","0.0627903952078547","0.0155300908730181"
"2208","Col8a1","1.325065","1.015256","1.229179","1.231738","0.831257888220554","0.667581684795346","0.831257888220554","0.667581684795346","0.95495263279009","0.667581684795346"
"2209","Col8a2","0.5327700","0.4226067","0.7705712","1.1232519","0.397445822804863","0.66193433224462","0.0388564385076885","0.232933147721098","0.181423699288261","0.0232832514628817"
"2210","Col9a2","0.6659223","0.8359159","0.3455281","0.5190879","0.653784319070596","0.653784319070596","0.899874087895537","0.653784319070596","0.653784319070596","0.653784319070596"
"2211","Col9a3","1.412506","1.340719","2.159151","2.220111","0.000587340947722423","0.74407470297801","0.000458584203382357","0.000401542125337772","0.74407470297801","0.000401542125337772"
"2212","Colec11","1.758557","2.201157","0.993526","1.175714","0.00135809923815073","0.0521772436117666","0.0189359602194694","5.07502198591957e-06","0.27925685885219","8.80092906286408e-05"
"2213","Colec12","4.507734","4.411380","4.548742","4.679786","0.681798913752993","0.420504010985221","0.286032956758469","0.286032956758469","0.286032956758469","0.0754904756010645"
"2214","Colgalt2","1.779342","1.528069","1.954342","2.147389","0.28422593742873","0.28422593742873","0.0754206837309636","0.0554804805820613","0.28422593742873","0.00735777487908182"
"2215","Colq","-0.4670532","-0.3599350"," 0.4185052"," 0.6610822","0.00108459760618712","0.664119472779233","0.000192191415111473","0.00243718493133259","0.304539976388629","0.000265885763202214"
"2216","Commd1","4.220541","4.249520","4.121008","4.001856","0.129718113099566","0.768943539157816","0.00324809539107572","0.0806128955063588","0.0806128955063588","0.00219157394704856"
"2217","Commd10","4.529957","4.517394","4.513342","4.427061","0.971571469751078","0.971571469751078","0.443923772111444","0.971571469751078","0.443923772111444","0.443923772111444"
"2218","Commd2","4.390335","4.342581","4.280633","4.330431","0.0624352027173158","0.367791992654488","0.230696797082172","0.230696797082172","0.367791992654488","0.562863662781867"
"2219","Commd3","4.667896","4.740248","4.797983","4.802341","0.00216367341130383","0.0882101968736583","0.00216367341130383","0.105547647085584","0.796722697088367","0.0882101968736583"
"2220","Commd4","4.428344","4.502249","4.268211","4.276226","0.0020298843086569","0.139344144121193","0.00229100204344094","4.19047740452812e-05","0.93500636398719","4.19047740452812e-05"
"2221","Commd5","3.496936","3.560046","3.654448","3.713324","0.00782697781527775","0.196240289314629","0.00070619674474433","0.105891529047151","0.196240289314629","0.00782697781527775"
"2222","Commd6","3.871072","3.858277","3.217435","3.081992","4.23702255680977e-07","0.862668936287491","5.00187429236754e-08","4.23702255680977e-07","0.214699597252297","5.00187429236754e-08"
"2223","Commd7","4.740970","4.774778","4.682264","4.685302","0.195296142484571","0.489375549305739","0.215846644576617","0.074215513294472","0.849886611980536","0.074215513294472"
"2224","Commd8","4.851396","4.866325","5.119961","5.098883","5.49625948130715e-07","0.757893208377506","1.67613558912471e-06","5.49625948130715e-07","0.722430683113964","2.0788647252451e-06"
"2225","Commd9","4.563241","4.569024","4.510033","4.498095","0.967107719483215","0.967107719483215","0.967107719483215","0.967107719483215","0.967107719483215","0.967107719483215"
"2226","Comt","6.583547","6.668017","6.293919","6.240374","0.0198205717410371","0.600454595123814","0.0112210783573455","0.00559174521751668","0.675616931838287","0.00450592555916433"
"2227","Comtd1","2.289674","2.458879","2.724750","2.763479","0.000188250675601664","0.111966515442767","0.000167036856426113","0.0104344494544682","0.68130879903614","0.00577691229874822"
"2228","Cop1","5.278856","5.278876","5.319199","5.349070","0.496692398067814","0.953452156056075","0.313426065516857","0.496692398067814","0.563420584112207","0.313426065516857"
"2229","Copa","8.186548","8.217799","7.812191","7.862500","1.31365590039359e-06","0.648883926017635","1.10314658858722e-05","3.88631304215759e-07","0.45921270072376","2.55974373458935e-06"
"2230","Copb1","7.065253","7.068085","6.841898","6.899132","1.07260902493868e-06","0.979810124944403","0.000112848674112507","1.07260902493868e-06","0.0922853518482408","0.000110067261283147"
"2231","Copb2","7.886678","7.919438","7.687214","7.687002","0.000100267732330511","0.651932843932964","0.000140600576170431","3.62334399988412e-05","0.90737527431152","3.77528538781678e-05"
"2232","Cope","5.226446","5.449340","5.368944","5.378625","0.101961408516051","0.0299203107689307","0.0715157990143974","0.415830006701154","0.68873952026525","0.591589405605779"
"2233","Copg1","7.751039","7.696923","7.483440","7.459885","6.26937635570656e-10","0.0960142687965928","6.26937635570656e-10","2.1470250895831e-08","0.436551607294174","8.5086419629422e-09"
"2234","Copg2","5.940099","5.839360","6.112597","6.043463","8.65915204013614e-05","0.0119899458591769","0.0101458546514966","4.74566278014913e-08","0.0737838620428951","6.85279498782204e-06"
"2235","Coprs","1.579348","1.695455","1.948474","2.004282","0.0131616982932035","0.44332164984547","0.0131616982932035","0.0564324026258565","0.788815919211579","0.0461440864602942"
"2236","Cops2","6.013809","6.043874","6.036368","6.110313","0.833006682648156","0.833006682648156","0.238392852828687","0.833006682648156","0.238392852828687","0.263933447160729"
"2237","Cops3","5.670218","5.663441","5.658478","5.660898","0.949049589258519","0.949049589258519","0.949049589258519","0.949049589258519","0.949049589258519","0.949049589258519"
"2238","Cops4","5.257729","5.298889","5.361431","5.339695","0.227773431650021","0.535588914623589","0.290558720237446","0.347270672753289","0.665874806974875","0.528242458260329"
"2239","Cops5","5.609815","5.657282","5.605619","5.510720","0.891741181196413","0.185052461034583","0.00940948350789419","0.161734004600287","0.00940948350789419","0.000446572936712295"
"2240","Cops6","5.024484","5.098211","5.063564","5.052531","0.634550051874796","0.587312579392094","0.708805984386006","0.634550051874796","0.708805984386006","0.599070005707035"
"2241","Cops7a","6.391020","6.421349","6.275366","6.237817","0.0142987659092889","0.460598671233641","0.00205609609574016","0.00205609609574016","0.366526484271538","0.000453917553940623"
"2242","Cops7b","4.222896","4.268648","4.426150","4.399215","4.81353286984625e-05","0.296713938304215","0.000278421270105407","0.000478207792532028","0.476481540913865","0.00310170178315031"
"2243","Cops8","5.831727","5.904485","5.846891","5.949893","0.533127102921386","0.0314516521892129","0.000882009851432792","0.076451003740897","0.00138572572790601","0.101431964676503"
